Personaje,Relacion,Tipo,Temporada,Episodio,Descripcion
Rachel Green,Tag Jones,Novio breve,7,5,Su asistente más joven con el que salió después de cumplir 30 años.
Rachel Green,Joey Tribbiani,Novio breve,8,22,Tuvieron un breve e incómodo romance que terminó rápidamente.
Rachel Green,Gavin Mitchell,Novio breve,9,11,Un compañero de trabajo en Ralph Lauren con el que tuvo un breve coqueteo.
Rachel Green,Russ,Cita (Cameo),2,15,Un hombre idéntico a Ross; a quien Phoebe le preparó una cita.
Rachel Green,Danny,Novio breve,5,13,El vecino de arriba que al principio no le interesaba; pero resultó tener una vida secreta con su hermana.
Rachel Green,Jean-Claude Van Damme,Beso,2,12,Se besaron en el set de una película.
Phoebe Buffay,Mike Hannigan,Pareja principal,9,3,Su esposo. Lo conoció gracias a Joey y se casaron al final de la serie.
Phoebe Buffay,David, el científico,Novio serio,1,10,El científico que amaba pero que se fue a Minsk por su investigación.
Phoebe Buffay,Gary,Novio breve,5,16,Un policía con el que tuvo una relación hasta que él le disparó a un pájaro.
Phoebe Buffay,Duncan,Ex-esposo,2,4,Su primer marido (un patinador artístico gay) que regresó para pedirle el divorcio.
Phoebe Buffay,Roger,Cita,1,13,Un psicólogo con el que salió y que analizó negativamente a todos sus amigos.
Phoebe Buffay,Vince,Cita,2,11,Un bombero con el que salió.
Phoebe Buffay,Ryan,Cita (Cameo),2,10,Un marino con el que salió cuando estaba de visita.
Phoebe Buffay,Larry,Cita,4,16,Un hombre del ayuntamiento con el que salió.
Phoebe Buffay,Alejandro (The Hooters Guy),Cita (Flashback),5,14,Un chico con el que Phoebe salió en su juventud.
Phoebe Buffay,El chico del club de lectura,Encuentro casual,5,17,Tuvo un breve encuentro con él en la biblioteca.
Phoebe Buffay,"El chico de las marionetas",Cita,3,11,Mencionada por el padre de Joey.
Joey Tribbiani,Rachel Green,Novia breve,8,22,Intentaron ser pareja; pero no funcionó.
Joey Tribbiani,Janine Lecroix,Novia breve,6,10,Su compañera de piso bailarina que odiaba a Monica y Chandler.
Joey Tribbiani,Charlie Wheeler,Novia breve,9,21,Profesora de paleontología con la que salió antes de que ella regresara con Ross.
Joey Tribbiani,Kathy,Novia seria,4,7,"La chica por la que Joey y Chandler pelearon. Ella engañó a Chandler y se fue."
Joey Tribbiani,Ursula Buffay,Novia breve,1,16,La hermana gemela malvada de Phoebe; con quien salió brevemente.
Joey Tribbiani,Erika Ford (La fan loca),Novia breve,2,17,"Una fan de *Days of Our Lives* que creía que Joey *era* el Dr. Drake Ramoray."
Joey Tribbiani,Melanie,Novia breve,1,21,Una chica con la que salió y que le hizo prometer no acostarse con ella en la primera cita.
Joey Tribbiani,Kate Miller,Novia breve,3,20,Una actriz con la que coprotagonizó una obra de teatro y se enamoró.
Joey Tribbiani,Erin,Cita,7,12,La chica con la que sus amigos intentaron que rompiera de forma dramática; pero ella lo hizo primero.
Joey Tribbiani,Mary Angela Tribbiani,Cita,3,11,"Una de sus muchas hermanas; a quien besó y no recordaba al día siguiente."
Joey Tribbiani,Lori,Cita,2,15,La chica con la que se acostó; lo que le dio el papel del Dr. Drake Ramoray.
Chandler Bing,Monica Geller,Pareja principal,4,24,La amistad que se convirtió en su matrimonio y su final feliz.
Chandler Bing,Janice,Novia recurrente,1,5,Su ex novia intermitente más famosa; conocida por su risa y su frase ""¡Oh My God!""."
Chandler Bing,Kathy,Novia seria,4,7,"Se enamoró de ella mientras ella salía con Joey; poniendo a prueba su amistad."
Chandler Bing,Aurora,Novia breve,1,6,Una mujer italiana con la que salió brevemente; que tenía un marido y un amante.
Chandler Bing,"Susie ""Bragas"" Moss",Cita,3,15,"Una antigua compañera de colegio que quería vengarse de él por haberle levantado la falda en cuarto grado."
Chandler Bing,Joanna,Novia breve,4,14,"Una ejecutiva con la que salía. Rachel intentó evitar que Chandler rompiera con ella para poder conseguir un ascenso."
Chandler Bing,Ginger,Novia breve,3,14,Una chica que tenía una pierna ortopédica (y que había salido con Joey previamente).
Chandler Bing,Jade,Cita,3,10,Una chica a la que llamó accidentalmente mientras estaba borracho; lo que llevó a una cita desastrosa.
Chandler Bing,Nina Bookbinder,Cita,1,16,Una compañera de trabajo que lo hace sentir incómodo con sus insinuaciones.
Chandler Bing,Marjorie,Cita,3,23,Una chica que conoció en una clínica del sueño; que roncaba ruidosamente.
